category,gwp_crs,business_pct,tp_loss_cost,od_loss_cost,tplr_pct,odlr_pct,coa,or_val
AFFINITY ALLIANCES,1.1022951,0.0001606962321,3812572.358,4762137.746,0.0002419447354,0.0001396706165,0.1688993344,0.9468306066
AFFINITY SALES,2.974034501,0.0004335646039,18266759.55,8828120.482,0.00115920326,0.0002589234282,0.1073583197,1.018484289
BANC HEALTH,7.19778684,0.001049317215,19713012.46,39764935.12,0.00125098205,0.001166281469,0.03389172441,0.8602512588
BANC HOME,1.3362922,0.0001948091047,3138834.811,6110148.026,0.0001991895462,0.0001792069418,0.09133701273,0.7835265154
BANCA BLANK,0.1040754,1.517245667e-05,543020.0922,546192.3473,3.445989746e-05,1.601949082e-05,0.09808470402,1.144645601
BBG,91.97135014,0.01340788817,194822348.1,494454545.7,0.01236336967,0.01450205242,0.09909780989,0.8485838765
COB,2.801641466,0.0004084325761,5962862.123,12111726.31,0.0003784014999,0.0003552295989,0.27942967,0.9246069752
CSC,0.4254706,6.202651386e-05,1991823.323,1476666.91,0.00012640053,4.330974632e-05,0.07904858635,0.894261255
CSG,4.3437332,0.0006332438188,11350106.13,24234399.37,0.000720274441,0.0007107802593,0.07833730973,0.8975615267
E CHANNEL,484.9094345,0.0706917041,1628535459,2088447664,0.1033463876,0.06125290539,0.1542507554,0.9207803506
EMG BRANCH,6.843968694,0.0009977364337,18355756.72,33773397.14,0.001164850995,0.0009905532877,0.2018810475,0.9635612391
EMG VO,3.081989499,0.0004493026413,8375957.367,15823595.44,0.0005315358238,0.0004640964727,0.1839319143,0.9691244925
EMG-Ibank,0.0561228,8.181767747e-06,151565.8723,295220.9345,9.618326273e-06,8.658651248e-06,0.1169447474,0.913032624
EMG-Ibank-VO,0.0142596,2.078811737e-06,27510.46769,94859.5787,1.745806296e-06,2.782174004e-06,0.123281158,0.9814401975
GBG,0.0385486,5.619742639e-06,179011.9286,121104.5,1.136004504e-05,3.551921655e-06,0.07578892617,0.8543293366
HEALTH AGENCY,2.107850933,0.0003072894934,4918064.28,10487510.05,0.000312098932,0.0003075923194,0.1548444567,0.8857766775
HEALTH BROKING,0.0671275,9.786069377e-06,138809.3844,298325.1872,8.808803254e-06,8.749697101e-06,0.1510296023,0.8027144743
KRG,48.4999939,0.007070489815,163736690,230729874.7,0.01039068283,0.006767167513,0.188592897,1.002058216
KRG - AXIS,31.9227554,0.004653805058,76415575.07,152613368.9,0.004849310218,0.0044760577,0.2634599056,0.9809924124
KRG - BANDHAN,2.0144908,0.0002936791439,4665570.386,10046096.52,0.0002960757427,0.0002946459279,0.1560468109,0.8863750792
KRG - HDFC,2.1436525,0.0003125087644,6508131.204,7806644.365,0.0004130041175,0.0002289641522,0.1097458934,0.7775208975
KRG-YES,10.5531388,0.001538471542,23690765.53,56653781.84,0.001503409105,0.001661621117,0.1847910357,0.9461574114
M1,5020.670825,0.7319300288,1.120352798e+10,2.528052506e+10,0.7109726346,0.7414624922,0.2673572835,0.9940350063
M3,120.8998568,0.01762518173,400361163.8,408976542.6,0.02540680327,0.01199503435,0.3173684601,0.9868006727
M6,2.5772937,0.0003757264155,7810425.21,13856808.57,0.0004956473173,0.0004064118049,0.1400499535,0.9807796239
MOTOR AGENCY,655.7700462,0.09560033022,1271825274,3333176657,0.08070966283,0.09776005304,0.1966221956,0.8989171028
MOTOR BROKING,321.1055287,0.04681182795,597174766.2,1690687261,0.03789653736,0.04958683362,0.2722837338,0.9848328957
OTHERS,0.0003905,5.692838392e-08,1842.665287,942.0772732,1.169350043e-07,2.763055598e-08,0,0.7131222944
PMG,0.6012266003,8.764880595e-05,1954294.633,2922090.68,0.0001240189703,8.570315027e-05,0.1325193054,0.9435920875
RETAIL TELESALES,30.09032019,0.004386666582,74481673.86,148702278,0.004726585409,0.004361347773,0.04460298455,0.7863336646
SIG,0.1728777,2.520268394e-05,593373.9529,901790.0587,3.765533885e-05,2.644895637e-05,0.05884221677,0.8967103825
SME,0.0472699,6.891162651e-06,88488.12601,176586.2075,5.615430797e-06,5.17916654e-06,0.1246173783,0.6853850836
SME AGENCY,2.9920961,0.0004361976838,4674776.37,15824818.22,0.0002966599518,0.0004641323362,0.1810991702,0.8662468955
SME DIGITAL,0.0573943,8.36713123e-06,233316.1278,254509.5092,1.480617376e-05,7.464609794e-06,0.1642042271,1.014159078
TRAVEL AGENCY,0.0004788,6.98010505e-08,2244.401047,1741.837507,1.424290391e-07,5.108703938e-08,0.0263512949,0.8588990297
Grand Total,6859.495617,1,1.575802983e+10,3.40954874e+10,1,1,0.2489592571,0.9757515241
